plid,centerX,centerY,area,code,dry,elev,slope,aspect,twi,distCcfp,distEwfp,distEwfpO,hhid,rgid,villid,geoDist,ifCcfp,ifCcfpO
11891,377944.91,3456137.384,1.095746,60,0,713,4.843,178.968,7.199,592.516756,11.932342,11.932342,1657,119,2,126.7584858,0,0
11892,377969.7127,3456166.127,1.15602,60,0,715,4.89,167.608,7.186,613.869333,8.590847,8.590847,1666,119,2,124.7374164,0,0
11893,377973.5162,3456160.591,1.554217,60,0,717,3.886,169.548,8.185,648.40211,5.228603,5.228603,1648,119,2,109.5473747,0,0
11894,378225.8366,3455993.408,0.711176,60,0,711,5.467,286.339,8.407,432.10174,0,0,1637,124,2,57.31743682,0,0
11895,378323.1448,3456078.578,1.572535,69,0,712,6.034,279.349,9.695,475.100041,2.40145,2.40145,1638,124,2,83.34419004,0,0
11896,378248.1434,3456056.745,1.578735,60,0,710,4.579,282.569,9.767,429.6289,0,0,1635,124,2,65.88941993,0,0
11897,378298.7155,3456042.988,0.71349,60,0,713,6.86,284.464,8.345,443.451894,6.396324,6.396324,1638,124,2,30.25801776,0,0
11898,378317.765,3456041.064,1.017337,60,0,717,8.213,287.733,8.002,443.451894,0,0,1646,124,2,417.1439329,0,0
11899,378328.8903,3456081.258,2.547282,60,0,712,6.034,279.349,9.695,455.020016,0,0,1638,124,2,65.4849331,0,0
11900,378379.4981,3456144.966,0.968848,60,0,718,8.296,278.723,8.483,522.705811,0,0,1638,124,2,131.6307831,0,0
11901,378336.1178,3456127.166,1.953981,60,0,715,6.86,275.921,9.077,501.391524,0,0,1638,124,2,111.2310722,0,0
11902,378030.6254,3455040.356,1.141173,60,0,683,3.449,271.795,8.679,19.609642,1.540362,1.540362,1419,127,2,85.66101872,0,0
11903,378708.1852,3455016.093,1.176532,60,0,692,6.562,169.648,10.345,230.038038,0,0,1449,133,2,498.4154553,0,0
11904,378700.8251,3454951.788,1.231796,60,0,682,7.418,123.669,7.154,159.261401,0,0,1448,133,2,493.1616485,0,0
11905,378673.0452,3454928.315,1.268908,60,0,689,6.335,139.483,8.547,186.991537,0,0,1459,133,2,468.7184602,0,0
11906,378749.4619,3454926.454,1.446964,60,0,680,7.679,154.116,10.424,146.047443,0.498216,0.498216,1440,133,2,487.9578542,0,0
11907,378688.1213,3454893.197,1.866006,60,0,684,6.875,149.431,10.041,176.665067,0,0,1459,133,2,469.448649,0,0
11908,378552.6252,3455115.946,0.763618,60,0,703,6.829,146.743,9.046,373.074612,0,0,1448,133,2,454.7670245,0,0
11909,378613.4177,3455056.593,0.708057,60,0,699,5.849,149.413,9.637,335.861311,0.106422,0.106422,1448,133,2,445.0253439,0,0
11910,378645.406,3455003.207,0.513514,60,0,697,6.774,116.774,8.129,289.034697,3.005668,3.005668,1448,133,2,463.3721688,0,0
11911,378636.5287,3455083.243,0.610615,69,0,708,12.15,191.004,7.793,380.210158,0.914072,0.914072,1902,129,2,4816.155947,0,0
11912,378633.5375,3455103.065,0.879486,61,1,708,12.15,191.004,7.793,381.642404,1.674003,1.674003,1510,126,2,2417.83767,1,1
11913,378657.507,3455142.043,0.796788,61,1,718,18.893,204.915,6.781,410.245738,3.93254,3.93254,1471,126,2,1922.709075,0,0
11914,378671.9406,3455109.96,1.278359,61,1,718,18.893,204.915,6.781,388.477343,1.674003,1.674003,1430,127,2,75.25355606,0,0
11915,378696.72,3455117.961,0.880063,61,1,715,18.095,212.598,6.888,365.926937,1.940017,1.940017,1828,122,2,1189.341659,0,0
11916,379005.097,3455093.593,0.697346,61,1,712,8.858,115.94,6.812,377.129009,2.660405,2.660405,1492,126,2,1879.337414,0,0
11917,379036.1335,3455073.659,0.637526,61,1,708,7.05,126.095,7.292,388.114803,5.964087,5.964087,1454,133,2,269.8296491,0,0
11918,378974.882,3455157.236,0.610565,60,0,711,6.991,130.452,7.533,421.311455,0,0,1445,133,2,70.01840205,0,0
11919,379062.5236,3455103.661,0.839679,60,0,709,5.302,151.55,10.111,428.668493,0,0,1445,133,2,53.05942999,0,0
11920,379084.8161,3455108.881,0.857037,69,0,708,4.206,182.192,10.148,446.71171,19.359978,19.359978,1433,133,2,406.9766648,0,0
11921,379175.4129,3455240.648,1.381479,60,0,715,6.958,171.588,9.091,547.189996,6.743723,6.743723,1447,133,2,147.3965719,0,0
11922,379207.9025,3455244.957,1.075262,60,0,712,5.306,165.968,9.272,531.246294,16.421187,16.421187,1434,133,2,159.1445399,0,0
